Date,1_Month,3_Month,6_Month,1_Year,2_Year,3_Year,5_Year,7_Year,10_Year,20_Year,30_Year
2024-01-02,5.31,5.33,5.27,4.82,4.45,4.25,4.00,4.12,4.05,4.35,4.41
2024-01-08,5.31,5.34,5.28,4.85,4.52,4.31,4.05,4.15,4.08,4.38,4.44
2024-01-15,5.31,5.35,5.30,4.88,4.55,4.35,4.08,4.18,4.10,4.40,4.46
2024-01-22,5.31,5.33,5.25,4.80,4.42,4.22,3.98,4.10,4.02,4.32,4.38
2024-01-29,5.31,5.32,5.22,4.75,4.35,4.15,3.92,4.05,3.98,4.28,4.35
2024-02-05,5.31,5.33,5.24,4.78,4.40,4.20,3.95,4.08,4.00,4.30,4.38
2024-02-12,5.31,5.35,5.28,4.82,4.48,4.28,4.02,4.12,4.05,4.35,4.42
2024-02-19,5.31,5.33,5.25,4.78,4.42,4.22,3.96,4.08,4.00,4.30,4.36
2024-02-26,5.31,5.32,5.23,4.75,4.38,4.18,3.92,4.05,3.95,4.25,4.32
2024-03-04,5.31,5.33,5.24,4.78,4.42,4.22,3.98,4.10,4.02,4.32,4.38
2024-03-11,5.31,5.34,5.26,4.80,4.45,4.25,4.00,4.12,4.05,4.35,4.41
2024-03-18,5.31,5.32,5.22,4.72,4.35,4.15,3.90,4.02,3.95,4.25,4.31
2024-03-25,5.31,5.33,5.24,4.75,4.38,4.18,3.92,4.05,3.98,4.28,4.34
2024-04-01,5.31,5.32,5.23,4.75,4.40,4.20,3.95,4.08,4.00,4.30,4.36
2024-04-08,5.31,5.34,5.26,4.80,4.45,4.25,4.00,4.12,4.05,4.35,4.41
2024-04-15,5.31,5.33,5.25,4.78,4.42,4.22,3.98,4.10,4.02,4.32,4.38
2024-04-22,5.30,5.32,5.22,4.72,4.35,4.15,3.90,4.02,3.95,4.25,4.31
2024-04-29,5.30,5.31,5.20,4.68,4.28,4.08,3.82,3.95,3.88,4.18,4.25
2024-05-06,5.30,5.32,5.22,4.72,4.35,4.15,3.90,4.02,3.95,4.25,4.31
2024-05-13,5.30,5.31,5.20,4.68,4.30,4.10,3.85,3.98,3.90,4.20,4.26
2024-05-20,5.30,5.30,5.18,4.65,4.25,4.05,3.80,3.92,3.85,4.15,4.21
2024-05-27,5.30,5.31,5.20,4.70,4.32,4.12,3.88,4.00,3.92,4.22,4.28
2024-06-03,5.30,5.32,5.22,4.75,4.40,4.20,3.95,4.08,4.00,4.30,4.36
2024-06-10,5.30,5.31,5.20,4.70,4.35,4.15,3.90,4.02,3.95,4.25,4.31
2024-06-17,5.30,5.32,5.22,4.72,4.38,4.18,3.92,4.05,3.98,4.28,4.34
2024-06-24,5.30,5.31,5.20,4.68,4.32,4.12,3.88,4.00,3.92,4.22,4.28
2024-07-01,5.30,5.32,5.22,4.72,4.38,4.18,3.95,4.08,4.00,4.30,4.36
2024-07-08,5.30,5.31,5.20,4.70,4.35,4.15,3.92,4.05,3.98,4.28,4.34
2024-07-15,5.30,5.32,5.22,4.75,4.42,4.22,4.00,4.12,4.05,4.35,4.41
2024-07-22,5.30,5.31,5.20,4.70,4.35,4.15,3.92,4.05,3.98,4.28,4.34
2024-07-29,5.30,5.30,5.18,4.65,4.28,4.08,3.85,3.98,3.90,4.20,4.26
2024-08-05,5.30,5.31,5.20,4.70,4.35,4.15,3.92,4.05,3.98,4.28,4.34
2024-08-12,5.30,5.32,5.22,4.75,4.42,4.22,4.00,4.12,4.05,4.35,4.41
2024-08-19,5.30,5.31,5.20,4.70,4.35,4.15,3.92,4.05,3.98,4.28,4.34
2024-08-26,5.30,5.32,5.22,4.75,4.42,4.22,4.00,4.12,4.05,4.35,4.41
2024-09-02,5.30,5.31,5.20,4.70,4.35,4.15,3.92,4.05,3.98,4.28,4.34
2024-09-09,5.30,5.32,5.22,4.75,4.42,4.22,4.00,4.12,4.05,4.35,4.41
2024-09-16,5.30,5.31,5.20,4.70,4.35,4.15,3.92,4.05,3.98,4.28,4.34
2024-09-23,5.30,5.32,5.22,4.75,4.42,4.22,4.00,4.12,4.05,4.35,4.41
2024-09-30,5.30,5.31,5.20,4.70,4.35,4.15,3.92,4.05,3.98,4.28,4.34
