Bank_Name,Ticker,Stock_Price,EPS,Book_Value_Per_Share,Dividend_Per_Share,Net_Income_M,Total_Equity_M,Total_Assets_M,ROE,ROA,NIM,P_E_Ratio,P_B_Ratio,Dividend_Yield,CET1_Ratio,NPL_Ratio
JPMorgan Chase,JPM,198.50,18.20,142.50,4.60,58500,285000,3670000,20.5%,1.6%,2.3%,10.9x,1.39x,2.3%,15.2%,0.6%
Bank of America,BAC,38.20,3.15,25.80,0.96,26000,270000,3200000,9.6%,0.8%,1.9%,12.1x,1.48x,2.5%,12.8%,1.1%
Wells Fargo,WFC,58.40,5.20,45.60,1.40,18500,185000,1950000,10.0%,0.9%,2.1%,11.2x,1.28x,2.4%,11.5%,0.9%
Citigroup,C,62.80,7.50,52.40,2.12,14000,145000,2400000,9.7%,0.6%,2.0%,8.4x,1.20x,3.4%,13.2%,1.8%
Goldman Sachs,GS,485.20,26.80,285.40,11.00,8500,78000,2600000,10.9%,0.3%,1.4%,18.1x,1.70x,2.3%,16.8%,0.4%
Morgan Stanley,MS,102.50,8.20,68.40,3.40,12000,95000,1200000,12.6%,1.0%,2.2%,12.5x,1.50x,3.3%,15.5%,0.5%
US Bancorp,USB,52.30,4.10,38.20,1.92,5800,72000,685000,8.1%,0.8%,2.4%,12.8x,1.37x,3.7%,9.2%,0.8%
PNC Financial,PNC,168.40,11.20,118.50,6.00,5200,58000,560000,9.5%,0.9%,2.2%,15.0x,1.42x,3.6%,11.0%,0.7%
Truist Financial,TFC,42.80,3.80,32.60,1.80,4800,55000,540000,8.7%,0.9%,2.3%,11.3x,1.31x,4.2%,9.8%,0.9%
Fifth Third Bancorp,FITB,38.60,3.20,28.40,1.32,3200,38000,210000,8.4%,0.9%,2.1%,12.1x,1.36x,3.4%,10.2%,1.0%
KeyCorp,KEY,15.20,1.45,13.80,0.62,1400,18000,190000,7.8%,0.7%,2.0%,10.5x,1.10x,4.1%,8.5%,1.2%
M&T Bank,MTB,185.60,13.40,145.20,5.20,2100,15000,200000,14.0%,1.1%,2.5%,13.8x,1.28x,2.8%,12.5%,0.6%
Citizens Financial,CFG,42.10,3.60,34.20,1.52,3200,38000,220000,8.4%,0.9%,2.2%,11.7x,1.23x,3.6%,9.5%,0.8%
Huntington Bancshares,HBAN,13.80,1.28,11.20,0.48,3800,45000,185000,8.4%,1.0%,2.3%,10.8x,1.23x,3.5%,9.8%,0.9%
Santander Consumer,SC,42.50,5.80,32.40,1.90,2800,22000,175000,12.7%,1.6%,4.2%,7.3x,1.31x,4.5%,14.2%,1.5%
