Date,Crude_Oil_WTI_Spot,Crude_Oil_WTI_1M,Crude_Oil_WTI_3M,Crude_Oil_WTI_6M,Crude_Oil_WTI_12M,Natural_Gas_Spot,Natural_Gas_1M,Natural_Gas_3M,Gold_Spot,Gold_1M,Gold_3M,Silver_Spot,Copper_Spot,Wheat_Corn,soybeans
-02,722024-01.00,72.50,73.80,75.50,78.20,3.25,3.30,3.45,2050,2055,2070,24.50,3.85,580,1250
2024-01-08,73.50,73.80,74.90,76.50,79.00,3.35,3.38,3.50,2045,2050,2065,24.20,3.90,575,1245
2024-01-15,72.80,73.20,74.50,76.00,78.50,3.28,3.32,3.42,2035,2040,2055,23.90,3.82,570,1238
2024-01-22,74.20,74.50,75.50,77.20,79.80,3.42,3.45,3.55,2060,2065,2080,25.10,3.95,585,1260
2024-01-29,75.50,75.80,77.00,78.50,81.00,3.55,3.58,3.68,2075,2080,2095,25.50,4.02,590,1275
2024-02-05,74.80,75.20,76.50,78.00,80.50,3.48,3.52,3.62,2065,2070,2085,25.20,3.98,582,1265
2024-02-12,76.20,76.50,77.80,79.50,82.00,3.62,3.65,3.75,2080,2085,2100,25.80,4.05,595,1285
2024-02-19,75.50,75.80,77.00,78.50,81.00,3.55,3.58,3.68,2070,2075,2090,25.40,4.00,588,1272
2024-02-26,76.80,77.10,78.50,80.20,82.80,3.68,3.72,3.82,2090,2095,2110,26.10,4.08,600,1295
2024-03-04,77.50,77.80,79.20,81.00,83.50,3.75,3.78,3.88,2100,2105,2120,26.40,4.12,605,1305
2024-03-11,78.20,78.50,80.00,81.80,84.20,3.82,3.85,3.95,2110,2115,2130,26.70,4.18,612,1318
2024-03-18,76.50,76.80,78.20,80.00,82.50,3.65,3.68,3.78,2085,2090,2105,25.90,4.05,598,1288
2024-03-25,77.80,78.10,79.50,81.50,84.00,3.75,3.78,3.88,2100,2105,2120,26.30,4.12,605,1302
2024-04-01,78.50,78.80,80.20,82.00,84.50,3.82,3.85,3.95,2110,2115,2130,26.50,4.15,610,1310
2024-04-08,79.20,79.50,81.00,82.80,85.20,3.90,3.93,4.02,2120,2125,2140,26.80,4.20,618,1325
2024-04-15,78.80,79.10,80.50,82.50,85.00,3.85,3.88,3.98,2115,2120,2135,26.60,4.17,615,1318
2024-04-22,77.50,77.80,79.20,81.20,83.80,3.72,3.75,3.85,2100,2105,2120,26.20,4.10,605,1302
2024-04-29,76.20,76.50,77.80,79.80,82.50,3.58,3.62,3.72,2085,2090,2105,25.80,4.02,595,1285
2024-05-06,77.00,77.30,78.50,80.50,83.20,3.65,3.68,3.78,2095,2100,2115,26.00,4.08,600,1295
2024-05-13,76.50,76.80,78.00,80.00,82.80,3.58,3.62,3.72,2090,2095,2110,25.90,4.05,598,1290
2024-05-20,75.80,76.10,77.20,79.20,82.00,3.48,3.52,3.62,2080,2085,2100,25.60,3.98,590,1278
2024-05-27,76.50,76.80,78.00,80.00,82.80,3.55,3.58,3.68,2090,2095,2110,25.80,4.02,595,1288
2024-06-03,77.80,78.10,79.50,81.50,84.00,3.68,3.72,3.82,2105,2110,2125,26.20,4.10,605,1305
2024-06-10,77.20,77.50,78.80,80.80,83.50,3.60,3.64,3.75,2100,2105,2120,26.00,4.07,602,1300
2024-06-17,77.50,77.80,79.20,81.20,83.80,3.65,3.68,3.78,2105,2110,2125,26.10,4.09,605,1305
2024-06-24,77.00,77.30,78.50,80.50,83.20,3.58,3.62,3.72,2100,2105,2120,26.00,4.05,600,1298
2024-07-01,77.80,78.10,79.50,81.50,84.00,3.68,3.72,3.82,2110,2115,2130,26.20,4.10,605,1308
2024-07-08,77.50,77.80,79.20,81.20,83.80,3.62,3.65,3.75,2105,2110,2125,26.10,4.08,602,1302
2024-07-15,78.20,78.50,80.00,81.80,84.50,3.72,3.75,3.85,2115,2120,2135,26.40,4.13,610,1315
2024-07-22,77.50,77.80,79.20,81.20,83.80,3.62,3.65,3.75,2105,2110,2125,26.10,4.08,602,1302
2024-07-29,76.80,77.10,78.50,80.50,83.00,3.52,3.55,3.65,2095,2100,2115,25.90,4.02,595,1288
2024-08-05,77.50,77.80,79.20,81.20,84.00,3.62,3.65,3.75,2105,2110,2125,26.10,4.08,602,1302
2024-08-12,78.20,78.50,80.00,82.00,84.80,3.72,3.75,3.85,2115,2120,2135,26.40,4.13,610,1315
2024-08-19,77.50,77.80,79.20,81.20,84.00,3.62,3.65,3.75,2105,2110,2125,26.10,4.08,602,1302
2024-08-26,78.00,78.30,79.80,81.80,84.50,3.68,3.72,3.82,2112,2117,2132,26.25,4.11,606,1309
2024-09-02,77.50,77.80,79.20,81.20,84.00,3.62,3.65,3.75,2105,2110,2125,26.10,4.08,602,1302
2024-09-09,78.20,78.50,80.00,82.00,84.80,3.72,3.75,3.85,2115,2120,2135,26.40,4.13,610,1315
2024-09-16,77.50,77.80,79.20,81.20,84.00,3.62,3.65,3.75,2105,2110,2125,26.10,4.08,602,1302
2024-09-23,78.00,78.30,79.80,81.80,84.50,3.68,3.72,3.82,2112,2117,2132,26.25,4.11,606,1309
2024-09-30,77.80,78.10,79.50,81.50,84.20,3.65,3.68,3.78,2110,2115,2130,26.20,4.10,605,1305
